unique_id_sinp	unique_id_sinp_grp	code_source	code_module	entity_source_pk_value	code_dataset	count_min	count_max	cd_nom	nom_cite	meta_v_taxref	sample_number_proof	digital_proof	non_digital_proof	altitude_min	altitude_max	geom_4326	geom_point	geom_local	date_min	date_max	validator	validation_comment	observers	determiner	id_digitiser	comment_context	comment_description	meta_validation_date	meta_create_date	meta_update_date	last_action
\N	\N	1	\N	96705720	3	12	12	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000004777103B53881240ADFA5C6DC5D64540	0101000020E61000004777103B53881240ADFA5C6DC5D64540	01010000206A080000B81E85EBCB61294148E17AA487FC5741	1996-02-24 00:00:00	1996-02-24 00:00:00	 		KAYSER Yves	 	\N	\N	3 1ers hiv	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597183	3	1	1	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000001EF98381E7BE1C40AD69DE718AD64540	0101000020E61000001EF98381E7BE1C40AD69DE718AD64540	01010000206A080000295C8F42AFA92F41E17A147EBE035841	1987-04-25 00:00:00	1987-04-25 00:00:00	 		MISIEK Pascal	 	\N	\N	imm ; Plumage 2° été	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597178	3	5	5	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000001EF98381E7BE1C40AD69DE718AD64540	0101000020E61000001EF98381E7BE1C40AD69DE718AD64540	01010000206A080000295C8F42AFA92F41E17A147EBE035841	1987-05-26 00:00:00	1987-05-26 00:00:00	 		MISIEK Pascal	 	\N	\N	3 ad. + 1 imm. 2° an. + 1 imm. 1° an.	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596954	3	5	5	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1996-03-04 00:00:00	1996-03-04 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96680572	3	5	5	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1996-03-05 00:00:00	1996-03-05 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596980	3	11	11	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1995-09-15 00:00:00	1995-09-15 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596991	3	9	9	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1995-11-21 00:00:00	1995-11-21 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596978	3	3	3	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1996-03-23 00:00:00	1996-03-23 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597046	3	1	1	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	01010000206A0800006DE7FBE9BB292D41F6285C1F84BE5741	1986-09-17 00:00:00	1986-09-17 00:00:00	 		ORSINI Philippe	 	\N	\N	ad ; 4° obs/site	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596965	3	2	2	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	01010000206A08000077BE9FDA1AD42941EC51B8AEB5E25741	1996-04-16 00:00:00	1996-04-16 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
