regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Animalia,Arthropodes,Insectes,246737,[246737],"Metzneria campicolella (Mann, 1857)",1,1010714,[246737],"Huemeria campicolella (Mann, 1857)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,248238,[248238],"Krombia venturalis Luquet & Minet, 1982",1,1013573,[248238],"Venturina venturalis (Luquet & Minet, 1982)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,248264,[248264],"Metacrambus pallidellus (Duponchel, 1836)",1,1015452,[248264],"Mesocrambus pallidellus (Duponchel, 1836)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,248318,[248318],"Friedlanderia cicatricella (Hübner, 1824)",1,1013614,[248318],"Thopeutis cicatricella (Hübner, 1824)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249093,[249093],"Eilema depressa (Esper, 1787)",1,1015440,[249093],"Katha depressa (Esper, 1787)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249094,[249094],"Eilema griseola (Hübner, 1803)",1,1015437,[249094],"Collita griseola (Hübner, 1803)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249095,[249095],"Eilema lurideola (Zincken, 1817)",1,1015435,[249095],"Nyea lurideola (Zincken, 1817)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249096,[249096],"Eilema complana (Linnaeus, 1758)",1,1015419,[249096],"Manulea complana (Linnaeus, 1758)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249097,[249097],"Eilema pseudocomplana (Daniel, 1939)",1,1015420,[249097],"Manulea pseudocomplana (Daniel, 1939)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249099,[249099],"Eilema palliatella (Scopoli, 1763)",1,1015423,[249099],"Manulea palliatella (Scopoli, 1763)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249100,[249100],"Eilema pygmaeola (Doubleday, 1847)",1,1015431,[249100],"Indalia pygmaeola (Doubleday, 1847)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249101,[249101],"Eilema lutarella (Linnaeus, 1758)",1,1015428,[249101],"Indalia lutarella (Linnaeus, 1758)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249102,[249102],"Eilema sororcula (Hufnagel, 1766)",1,716692,[249102],"Wittia sororcula (Hufnagel, 1766)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249103,[249103],"Eilema uniola (Rambur, 1866)",1,1015427,[249103],"Indalia uniola (Rambur, 1866)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,249458,[249458],"Lasionycta imbecilla (Fabricius, 1794)",1,774052,[249458],"Eriopygodes imbecilla (Fabricius, 1794)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,251018,[251018],"Abax parallelepipedus contractus Heer, 1841",1,1003536,[251018],"Abax parallelepipedus ligurinus Zanella, 2017",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,252345,[252345],"Maccevethus errans caucasicus (Kolenati, 1845)",1,1014672,[252345],"Maccevethus caucasicus (Kolenati, 1845)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Bryophytes,Mousses,434543,[434543],"Schistidium brunnescens subsp. griseum (Nees & Hornsch.) H.H.Blom, 1996",1,1018985,[434543],"Schistidium griseum (Nees & Hornsch.) J.Guerra, 2021",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Arachnides,458742,[458742],"Salticus conjunctus (Simon, 1868)",1,234031,[458742],"Salticus conjonctus (Simon, 1869)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,608163,[608163],"Morus kagayamae Koidz., 1915",1,446743,[608163],"Morus australis Poir., 1797",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,611131,[611131],"Euclidium tenuissimum (Pall.) B.Fedtsch., 1904",1,811157,[611131],"Litwinowia tenuissima (Pail.) Woronow ex Pavlov, 1935",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,612569,[612569],"Sempervivum globiferum subsp. allionii (Jord. & Fourr.) 't Hart & Bleij, 1999",1,136892,[612569],"Jovibarba globifera subsp. allionii (Jord. & Fourr.) J.Parn., 1990",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,613125,[613125],"Pyrola rotundifolia var. rotundifolia L., 1753",1,139531,[613125],"Pyrola rotundifolia subsp. rotundifolia L., 1753",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,613134,[613134],"Hypericum perforatum var. perforatum L., 1753",1,136759,[613134],"Hypericum perforatum subsp. perforatum L., 1753",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,613604,[613604],"Sempervivum montanum var. burnatii (Wettst. ex Hayek) Praeger, 1932",1,140916,[613604],"Sempervivum montanum subsp. burnatii Wettst. ex Hayek, 1922",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,630704,[630704],"Spartina patens (Aiton) Muhl., 1813",1,1015865,[630704],"Sporobolus pumilus (Roth) P.M.Peterson & Saarela, 2014",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,658746,[658746],"Synalissa ramulosa (Hoffm.) Körb., 1855",1,54161,[658746],"Synalissa symphorea (Ach.) Nyl., 1857",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
